item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
Vin diesel + batatas medias,00b28eaf9237404e07a6d9d5ef09252d5b7e0e0c64f8752e1a3b53d394cc246e,51460d362ea67b31b9178705f6000f8dae58bc8a27540a61559ce7bc8739f9c1,Bombx Açaí & Hamburgueria,Combo lanche + fritas,16,SAO PAULO
Cheeseburger,00b290841fbcd69cc784a8ef3ee21becc9e35f40d82495a05036e9c53ebbeef3,d1401cdcbdb60801e04917b32063b7a6901ad10afeba5df2d117d2f5664e0a79,Mcdonald's - Cursino,Sanduíches Carne Bovina,7.5,SAO PAULO
Combinado saladas (salada 600 ml + quiche + sobremesa),00b2d439cf5091576d2c0929f320e9055c2dba5da0bb2b5dfd29cb69d1464ccc,b2673cb205a16b9bfd830cdd9b7a839aac6cb31a20f4cb650b1b1fea5b139d78,Free Soul Food,Combinados,28.5,SAO PAULO
refrigerante 600 ml ,00b2ef3b7ce1141ca87572324397aaa8a8abbee2c37e4d05f139a5dd191e3402,92e6e7e9278bbe07ccbb33fdd11d9affc91ecac2d7626982ad5e631ae2634927,Casa Da Esfiha,Bebidas,6,SAO PAULO
Waffle com niño trufado,00b30ff046fadf9d9893af42276aeb38c1d76d1417eed046c5467d1b3f8c662c,84f396597c359d381c7a01f358e1fc74ce12de823f054a05716313ae48c7874f,Degusta Delícias Geladas - Setubal,Promo Aniversário iFood.,13.2,RECIFE
Mix Bocão 2,00b3acaa43bb52db357787133a566307abc82bd3ecd99e79339dddc6ad54bf99,6d01ff8e33d0c2619a891c49bef6101b5cc35c51120918ec6c875d29d654dbad,Lanches Do Biano,Lanches na caixa com fritas,57,PORTO ALEGRE
Coca-Cola 310ml,00b3b5248c60a49f02c8cb9bf7c06a4a444b58495af4c7857b54094b98d7bcd3,d447dc0855964196d575d559bf95546b2b2f12dd6c5149a36e7d0d18bf5277e5,Sushii Sushi,Bebidas,4.5,SAO PAULO
Esfihão Beijinho,00b3be7eb35a4b1e7413afb5bda693c8d2a1f48d010bbdd12786eeb9259f09dc,4df8b274e344fe4031c62b13f4f718f984728be46f747eb90874129a8d2a4609,Os Muzzarela,Esfihão Doce,5.5,SAO PAULO
Yakisoba frutos do mar,00b4344498787e94fdc58a5908c34bf038d06999ece5808c1b7177c987ca7828,41c4a196d56524244b81b4a0685b10eebfb2767def8825b8600e0d66655abff1,Recanto Oriental,Principal,27,SAO PAULO
COSTELA AO MOLHO,00b46b200b0960ffa4b116456ad53cecd430c29f7d5a55d2c4d788c8556f03ce,091c31446b5ddec99201ad526242d98b05ef4e7af035ab44abb62a9148f7f224,Bar Do Mineiro,Segunda-feira ,24.9,SAO PAULO
COSTELA AO MOLHO COM MANDIOCA ,00b46b200b0960ffa4b116456ad53cecd430c29f7d5a55d2c4d788c8556f03ce,091c31446b5ddec99201ad526242d98b05ef4e7af035ab44abb62a9148f7f224,Bar Do Mineiro,Segunda-feira ,24.9,SAO PAULO
PICADINHO CARNE AO MOLHO,00b46b200b0960ffa4b116456ad53cecd430c29f7d5a55d2c4d788c8556f03ce,091c31446b5ddec99201ad526242d98b05ef4e7af035ab44abb62a9148f7f224,Bar Do Mineiro,Segunda-feira ,24.9,SAO PAULO
BATATA PRINGLES ORIGINAL 121G,00b4ae44ff4d696f8b8c8b803b29f8e8483f5566e69b8d194a49e3dbe676b3db,31c4845cee475cda57c30477bd76e2abaf2637976e01c065e1bc28ee0ea6978a,Choppeleiro Bebidas,PRINGLES,15,SAO PAULO
Frango Grelhado,00b51d03ca370727f3884ca07b652b62da97a89398247cd8b6cb453fc48d12fb,8e8fb6feb960eb1a318170fff7b41739436a2b9e6d44ac9430f2510dccc105bc,Tá Na Hora Refeições,Refeições,16,SAO PAULO
Porção de fritas,00b52e82c66594c68c2040d6b3b65b3423d65bb2596b97c5c6f281f644b24946,8fbc61e52d029b78d24bd760b7fe242011477a1fca3d66d068e2238bcf146c49,Casa Do Pastel,Porções,14,SAO PAULO
PROMOÇÃO 100 PÇS ( PAGAMENTO EM DINHEIRO),00b551137deb9941aae58603994f0529906e3801ae10aaadd05521d424d4d50c,eaa3bf4fc8ef29a1c232cefc1c48b468bc0ac33a5e5c98e4a3cb085acf38072a,Alô Sushi,PROMOÇÕES,110,RECIFE
Feijoada completa (individual),00b578aba594c1064909e9ba96bf2eb67794f829fee448ae5f34a7a46d34f0e1,c00ba3bb0b9c0db0bf25a8469b7ff2c508bd97a7687095482eaec072a0885f9e,Restaurante Tô Em Casa,Todos os dias,15.99,RECIFE
Feijão pequeno,00b5a7e0250e761739c3adafcc4459ea8bf5cb36f51b7d1c44892e75eebc44dc,16e80580f051f39714cf3fdd540978507be9dc576b7803b1fd59d79c9238a656,Brasileirinho Delivery - Tatuapé,Adicionais,5,SAO PAULO
Quiche com salada,00b5e40f0bd0bd5b010fd4664e28a35f8b10f6c9d8709897b3344439f653e8ae,33869a6d548854f2bab00bf03c938ddbb8977adef009fd62f319fdc94d060206,Gaia Natural Gourmet,Segunda-feira,24.9,SAO PAULO
Refrigerante lata 350ml,00b695b882b75fa1a393cfdf1761d6c458840cb5e88e39ea83243160ad2256aa,e026c0d73607b94ae47bfe4d059ce5c70f79d0f8e5c1959993b71ca265b851df,Makis Place - Celso Garcia,Bebidas,6,SAO PAULO
Xis cheddar,00b6b9fd459b7e37b35d63de7f361e11e1f04a01be52fa262788844af7fe845a,4a3fc1a74f7c646e4102b2cb7fe8c36e04529823c87ef855894285721f71cfb8,Doca Do Xis Lanches,Xis,18,PORTO ALEGRE
Jonnes Frango,00b6d12c91ad3c59e65394b5ab82fec5ef118030bab46deac044d1948909cd9c,6d39fd47baac50169c63efc347056576d2999017e5f59a3134ff1fbc7a474036,Jonnes Burger,Lanches,18,SAO PAULO
X-tudo,00b7026661dbfe7a3e46fe8feffa6c1ad050ace49c3dbb1a9b3eb3977bb82ce9,9f93e6ae99fd0625838bb92e49f7655f199d3f90f5671c6cf1bf96766d255228,Potencia Burger,Lanches tradicionais,18,SAO PAULO
X-tudo,00b7026661dbfe7a3e46fe8feffa6c1ad050ace49c3dbb1a9b3eb3977bb82ce9,9f93e6ae99fd0625838bb92e49f7655f199d3f90f5671c6cf1bf96766d255228,Potencia Burger,Lanches tradicionais,20,SAO PAULO
Temaki de Salmão Siciliano,00b7e239fd0d370132783eb05b90fab892a1329ed1580c1edd2a29d962853d52,2c36207ee4441b942406f94dd58384d03b13cde9d63d6f6e74bd5cba0a3a1e5f,Haruto Temakeria,Temakis,15.9,SAO PAULO
Coca Cola - Lata,00b86b55ef336c5d811440152c1e1bfdc6e5527a60201b3d037c357b36e2ab12,d0ee348574e3bb6e77ae5f77a2e5ab31f9da3d3af2add186d59315263fa1a74d,Hamburgueria Familiar & Eventos,Bebidas,4.5,SAO PAULO
Suco Del Valle,00b899bf9e8d3b60fcbcc64caf5f8483c30f3974a9d18ceb2f431097c33fca11,e73d44780a5e99dbeaf984150a39a04ca6aaea54e151daa4328b3f5771aa637e,Pizzaria Camelo - Higienópolis,Bebidas,8.2,SAO PAULO
Kibe,00b8efcaa3b935d865e163ae24b35d9438c956f6259fd9ee4f0aa64a73981aa7,8e1010e2ffd1a46ad9f99ceb15902340e7623f673d63cfc7fd962416ab43dfa2,Restaurante Capadócia,Pratos,7.9,SAO PAULO
Polenta com bacon,00b8efcaa3b935d865e163ae24b35d9438c956f6259fd9ee4f0aa64a73981aa7,69be1a599d038f7dc5ce87ba88212905d3db079cdf5484b2fda11f6b4f622962,Big Hour Lanches,Porções.,18,SAO PAULO
A parmegiana de carne (1 pessoa),00b8f2d621c34f1a9977cccc1e4caf1611bc6c582a20efc1641072ce7f01c100,e568d3abb97f64eee2fccb098103cb9caaad59fdff2f99f1b2e6be2546d4d85f,Beth Almoços,Pratos especiais,14.99,RECIFE
Mad  Fritas com 200g,00b8f2fdf1fbd1d01c27daf50e1a0b0329c0ebdf20ea0721a8a7fb1ec2b07953,f375adde815de05308fade1d678bbcb75236dbdccd266a501901ddd4891d62db,Madrugão Burger,Mad Coxinha Gourmet,6,RECIFE
Mad  Fritas com 200g,00b8f2fdf1fbd1d01c27daf50e1a0b0329c0ebdf20ea0721a8a7fb1ec2b07953,f375adde815de05308fade1d678bbcb75236dbdccd266a501901ddd4891d62db,Madrugão Burger,Mad Coxinha Gourmet,3,RECIFE
JURASSIC PARK (X-EGG),00b904849fdaf697ab7406e3ec5c90ad8e5716bd2bfe16025f8f80914282da4a,7c275eb8f834e5c628bb35b081e8997c31259dbf45db2b6042de3857887a98e1,Supernova Burguer,LANCHES CLÁSSICOS,22,SAO PAULO
Açaí na Tigela (promocional),00b945894b02721de0927c586c3e7c8453d8b97b8d7c6a9d9082aef9bad429dd,45e2b8d64d406ceb7d385a491c0b3f5faddc00792f5232062b57cbce333913a1,Açai E Tapiocaria B&b,PROMOÇÃO!,13.41,SAO PAULO
Açaí na Tigela (promocional),00b945894b02721de0927c586c3e7c8453d8b97b8d7c6a9d9082aef9bad429dd,45e2b8d64d406ceb7d385a491c0b3f5faddc00792f5232062b57cbce333913a1,Açai E Tapiocaria B&b,PROMOÇÃO!,7.45,SAO PAULO
File de frango acebolado,00b9b7e5173be7d649b39a975a0f1524aab4283625fb2ced029cd48d2bd3dff4,0cfacbad59c554cc4b15892d7cd1e11811a28a6e4b9262f52eea91d25ca6f909,Imperio Mix Lanches E Refeições,REFEIÇOES MARMITEX,12,SAO PAULO
COMBO STONE BASIC,00ba5863779bd9c0709c618ed008469780434c0758abc5a147da4161a2c2d6a2,7f830bf868a410426499d0e0e5eb9483d987b0acf93b24b7fccbd483f9e4a862,Stone On Burguer,PROMOÇÃO,25,SAO PAULO
EL BURRITO VEGETARINO,00ba6a67e4307fd9c8a72c27937bb384055bc8d166382c37dd96bd0b57925f3e,aedb4648b81c6eca2bc502b9d80cb1f7a36fe36cd3d59f8781b65f97d8d9e999,Casa México Sp,PRATOS FIXOS (A LA CARTE) ,29.8,SAO PAULO
SALADA MISTA,00ba8853d082e2726c51079c0c11c1353320abfee1d2a4fe1aa3e488d149bd62,fb8ba3e44fac6ad68a138f10aed9672df37c4f57e6dc598697eb43d30cbd8d59,Churrascaria Pizzaria Cabana Gaúcha Ltda,Saladas,48,SAO PAULO
HAMBURGUER COM CATUPIRY,00ba887a50c244d8dc3f1ff87cce1e6885336b669f1d670024af3702f5f2979f,0de7c31511007842911857f0e0534c0b102ca9617f06c28166e496095e2dd026,Come Come Burgueria E Pizzaria,COME COME BURGUERIA,8.5,RECIFE
Cheeseburger,00ba9a908f54e9e2b02ac22619e61df2169198823da979563a15904973430c73,95a2066d8471c1a9967967eae545c005b0dc9183eeca2774bc317f63562cb2b2,Mcdonald's - Nilo Peçanha,Sanduíches Carne Bovina,7.5,PORTO ALEGRE
"Suchá de hibisco, maçã verde e hortelã 330ml",00baf4d8c38a445c68e3972a2b0f3aecbeda4f62ea5d43d3ae4aa66499bbeb8a,66fcf252f3594cbf0cd59065b681cc1cdca69d5ef70a410b9d8fb1667aa520ad,Club Life To Go - Paraíso,Bebidas,12,SAO PAULO
Fritas Especiais - Cheddar e Bacon,00bb05ba48587d54b67fbf4c0b31ebb01a6df0f98f26f7ed2a36da833e2069db,4be285c2f9732564e9f21323a9f2d1017d2feab96819c564e9035d72a11f5cc4,The Fifties - Itaim Bibi,Entradas,25.5,SAO PAULO
Kebab  iambo,00bb19c4a75fea5ca5360af69d4974e94ae425d4d8cbfa05d7f2a3b1779c9d15,45e2b8d64d406ceb7d385a491c0b3f5faddc00792f5232062b57cbce333913a1,Açai E Tapiocaria B&b, Sanduíche Kebab e Naturais,25.9,SAO PAULO
Bife acebolado + ovo,00bb352ae8d3e6dde1861f2341163459d51a85e475a967b61e899388c6e79c84,93e0cd665d7aa8bf2cb650153182720bbf76e5454ec191a2dfae6b4407f39a86,Restaurante Sabor Paulista,Almoços servidos diariamente ,16.9,SAO PAULO
Bolo Gelado Laka 145 ml,00bb3b749198e0ce307cf36f1c017a7332b3dbb6889fcd7968b9be513bbc2b7e,318c12b9b2bb0589233ba8fb403701a4fa926f524bd2dd16e6f97ce9a72c72a8,Massa Da Mama,Sobremesa,6,SAO PAULO
Promoção compre 10 leve 15 esfihas (Carne/ Calabresa com Mussarela ou Frango),00bb79d3333bac6d6f05c8256487db6da1c61cecd4599e2067dcbee3543b81a1,6b9928a5a79f7cb26b88f5a1dca37ed74bb2ae1abbb4b18d51e0d30c9ffda44b,Habib's - Tremembé Ii - Vila Zilda,Promoções Especiais,19.8,SAO PAULO
Pizzas + borda recheada de catupiry,00bba8b481e54298f1ce2e48bff4abebd502373de3f7f393b9872ecc30503624,eac48e60726ea3b72d1bf65b7fb747129f4a67805f1131a55f9f3bf1259b8602,Eccellente Pizza Premium,Promoção,29.99,SAO PAULO
452 - cerveja Heineken,00bcb6c13b2844fcf90d823daaa08b80b298dcd54ad9d8b66b41c1c8a174a30d,bc3c66b105ef164a46b5a57bd754cfd84825ce6b105e5519fb7e732b3b0abeb4,Grazie Pizza,Bebidas,7.5,SAO PAULO
sushi 1,00bd99fadfff6cfc333f4705b71a939fa8dc74de1fd500481f4803125af53f7f,8458b9c7facab3d747dfcedc85edddd08238d2ea9e5bf3592062c8e75dd64adc,"Sushi Por 0,99",combinados,25,SAO PAULO
sushi 1 ( 25 un ),00bd99fadfff6cfc333f4705b71a939fa8dc74de1fd500481f4803125af53f7f,8458b9c7facab3d747dfcedc85edddd08238d2ea9e5bf3592062c8e75dd64adc,"Sushi Por 0,99",combinados,25,SAO PAULO
1/2 Polenta com Calabresa,00bdf0ba0b4b2c08344bab8d6c1608d728d98618b1ca0122ce6c6c93c9f39631,342a6a187e8518a862ae02feabc73ee3c681672d447ef97d6bf3a6c1cf10ec5b,Magic Chicken Cambuci,Porções Quentes,25,SAO PAULO
"Compre 1, leve outra( 1G PORTUGUESA + 1G 1/2 ROCCA BIANCA 1/2 BAIANA",00bdf1fa861e72e35affcadef8a102163733dc61f4f7fb6a0a11df31079e1fad,c4e2d070ecfdb53706ff902fef8b82902bfeea230104e5aa6908558eaf7b95f9,Di Napoli,Promoção ,49.9,SAO PAULO
Omelete Gordo/Magro,00be0a0dad2d85aecc54bc780d28888d90461cdf0e1eca81f77c651b309c6293,fb5680034d093185822c66f64a6053b706425dc6f49c25b7ff31de8f2acb685a,Hamburgueria Gordo E Magro,lanches tradicionais (e) Combos,20,SAO PAULO
Omelete Gordo/Magro,00be0a0dad2d85aecc54bc780d28888d90461cdf0e1eca81f77c651b309c6293,fb5680034d093185822c66f64a6053b706425dc6f49c25b7ff31de8f2acb685a,Hamburgueria Gordo E Magro,lanches tradicionais (e) Combos,16,SAO PAULO
Crepe frango 1,00bea34ddcec8e8d8742d1eb8ab67be70b4eda6905016aa43857cd3ba89c5d77,6b177ea35fb12177e25b87e61296fc63d5540a2f6f241a4dd81eced87bc23200,Creperia Crepes E Cremes,Crepes salgados,22,SAO PAULO
Crepe frango 1,00bea34ddcec8e8d8742d1eb8ab67be70b4eda6905016aa43857cd3ba89c5d77,6b177ea35fb12177e25b87e61296fc63d5540a2f6f241a4dd81eced87bc23200,Creperia Crepes E Cremes,Crepes salgados,11,SAO PAULO
Crepe frango 1,00bea34ddcec8e8d8742d1eb8ab67be70b4eda6905016aa43857cd3ba89c5d77,6b177ea35fb12177e25b87e61296fc63d5540a2f6f241a4dd81eced87bc23200,Creperia Crepes E Cremes,Crepes salgados,24,SAO PAULO
Esfiha portuguesa,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,8fd9be4c62219fb0c274798ddfd9ad6d2e54b700e617430597ded94cfc030a1a,Pizzaria Romanni,Esfihas Salgadas,10,SAO PAULO
Nhoque com Molho ao Sugo,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,3d30f5cf03f0b6f7b389b0ca32cd96c301fa12006038b901da7bce03d2b12809,Ragazzo Express - Primitiva Vianco,"Almoço por até R$ 13,90",8.5,SAO PAULO
Quitandinha,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,7e2ed0d120c4cedd49bbab1f8a9c1b3fec3e8deaa6874b1b5c913c27ec811208,Lanchonete Da Cidade - Morumbi,Exclusivos,33,SAO PAULO
SALAME COM QUEIJO,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,39c7ad35cbcedee193e495f09d7e2dd3b644d8f99475d3eada47a74f58f71b24,Lig Pizza,LANCHES,15,SAO PAULO
Whopper Jr.®,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,e15d3559bf1d864ed1f0befd06874878acc628e472a3ca985264da55528bbea1,Burger King,Sanduíches Individuais,19.9,SAO PAULO
Whopper Jr.®,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,4ff6ef561b84acd1a87a5fd2bcf357e0e1e18934e4e4417497319f4ca9f4c7dc,Burger King,Sanduíches Individuais,19.9,SAO PAULO
Whopper Jr.®,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,7d7cc4f15d048679f4ab266db9015ac1077952b82d9a36f1d4622b4c2ada6590,Burger King,Sanduíches Individuais,19.9,SAO PAULO
Whopper Jr.®,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,9438e595ac91e0d98c9e5382963f4e4886ccf273d97a2370317d9fbd7712d94e,Burger King,Sanduíches Individuais,19.9,SAO PAULO
Whopper Jr.®,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,6858235450a306f2f88239a586627cefdb267934496062d6e6991c2895728ad9,Burger King,Sanduíches Individuais,19.9,SAO PAULO
Whopper Jr.®,00bebc5be79d19e1b8b3f250dc39aebfa9a054baf5f8d61380438d92394c476a,aea106168900b2538f10984664cff1c633128fae6949b2ecd611788feb903643,Burger King,Sanduíches Individuais,19.9,SAO PAULO
Quindim 80g,00bee8b645e726a7bab49f468c32b687a6bfdcf569727f5b3ea5a859922cd0eb,db230da2d7cc7883660f0273c33c2ad43740c868de0554cbd37b3d9f81f829c7,Confeitaria Maomé,Doces caseiros,7.75,PORTO ALEGRE
Risoles de presunto e queijo,00beea505caa57d88cc4dca9c1c2d7d5fb5d7014a6e96f4217dc5b3f325bc6de,b07acfbb6899110e750ce261969313594d1ac3c14334a16244b2b5a47498324a,Doce Magia Doce Mania.,Salgados Fritos,5,SAO PAULO
Molho Bolonhesa,00beeb51ce2bd0f2026f526d53503cd53ec16c5a53c3ea31fce5e5ffd716dd8b,995406644fee2838be32ea41d7cbd176f950ef8591b1bb5d25b0fb5e07f2d509,Avicola Marilene,Molho,17.8,SAO PAULO
Big Mac,00bef137f9609e24ca2fe7032478090b5ecfafbe00780eac55e13f3159552e8a,5c97a2a8a5a445e0fc41f57ebbc486848e128fb6886a93a8cd2923205f98a8f7,Mcdonald's - Pari,Sanduíches Carne Bovina,18.9,SAO PAULO
Ice tea limao 300ml,00bf57d49be4dbc72b4976ac6fcf64a4bbc719b9e0d04965296df897c4ef3de5,af9571c9ece87eb016aeb536647957d10d09ef8acaafca0b99fe2ebdc515bb2b,Gendai - Center 3,Bebidas!,5.7,SAO PAULO
Medalhões de filé mignon com penne al limone,00bf67d8317f96e8835a7b32006c68492abf648dc8af63c0755bd464833f82d9,8ba19915122c77f2312ad01b4230011bcc85a5a630adfb398c196ba518056a13,Andiamo Ristorante - Morumbi,"Pratos da Casa | Carne, Frango ou Peixe",69,SAO PAULO
Refrigerante 600ml,00bf67d8317f96e8835a7b32006c68492abf648dc8af63c0755bd464833f82d9,8e4dda76a23b94d8c6a0b5bc8071e6790351dd4815c25497442c60a2663e075e,Pizzaria Felicitá,Bebidas,6.5,SAO PAULO
Molho Chicken McNuggets Barbecue,00bfd66f4773a21e290794d7b79da447491b2049889dd977771facbb18328da1,2c3eaf36c50c13deedfbbccc71dc497018238209afa8ace041aa9b20e2363fa2,Mcdonald's - Capão Redondo Drive,Acompanhamentos,2,SAO PAULO
"Promoção Lanches - Escolha 5 Lanches e Pague apenas 34,00",00bfd9aa074b9d5714c15f5a14316e5f8bfce0bfb67a3369a6ae664b89bf05d9,edceb0b95ebdf3e3fab2561f3a2dd7f958f1a53f44e4b503f2748b1cc7ef3fd8,Pizzaria El Shaday,Promoções,34,SAO PAULO
Refrigerante lata,00c0287aad21be0cb10315c2d5fe22ccb027a680e8072d68301222b3beda2d03,b83b96a0476d3d809fde429e6522b6d14acd2a2e0e27118f81f33cb7cf41cb40,Arretado De Bom,Bebidas,6.3,RECIFE
Arroz integral,00c08d89fea3949876a591af017b09ccb7efa99c42117fa70780f9733164d608,056d6669fdb0b09da38664668ce44ae9835a7576b457fb5bb9c79c5e56fe7736,Salucci,COMIDINHAS,6.5,SAO PAULO
Combo Cheese Salad Burger Raças Britânicas,00c08d89fea3949876a591af017b09ccb7efa99c42117fa70780f9733164d608,72291ec5abc76f53958a7a6a9f3212b3f529bc85c39d3f0c83cb552488245b20,The Steak Factory Mooca Plaza,Combos Promocionais,32.9,SAO PAULO
Petra escura,00c08d89fea3949876a591af017b09ccb7efa99c42117fa70780f9733164d608,317e7e92155184d7e5827bc2e5f73a1bc855464e1107bf9299efaff32f5b4068,Santa Entrega,Cervejas premiums,6.5,SAO PAULO
Refrigerantes Lata,00c08d89fea3949876a591af017b09ccb7efa99c42117fa70780f9733164d608,fac09173cbb9fc57e9c4b59859f18813433bf0e06d95279daf7d18750e034d51,Subway - Cavalhada,Bebidas,5.5,PORTO ALEGRE
Suco dell valle laranja,00c08d89fea3949876a591af017b09ccb7efa99c42117fa70780f9733164d608,7aa604b0d71e9e243b44df4f1093c7805af14b17fef2c2345e7f656d4d041a81,Saidera Brasil,Não alcoolicos,11,SAO PAULO
maminha ao alho semi executivo,00c09287c05574bda044ed2bba1b3d43cc13252cf0431bf450c2d4af6d24a2b0,1d3a1912e18c19f07b6396b1ff3821ffbdfe8dc2407b5d893f3ab5d30d5c61db,Sabor Caseiro - Marmitaria Paulista,Pratos,27.99,SAO PAULO
X egg burguer com bacon,00c099e066894886440919463ab64d0e16d155b58b5f7d500a26d1a7aad090d8,c4cc8926e7054ecfc2d7ebb37806a3067090c56bab941a187f4ee5b2defed7c6,Guigui Lanches,Lanches,13,SAO PAULO
Temaki salmão skin,00c0f757b38b9e7927c443fa44c6f89be86b6333166d2b1cf25d2c77234fbea0,4f0cb23721aec717ac84dafd6cd42dd220a4581cfbfe6a8097515a24869e5943,Kiai Sushi Itaim,TEMAKIS,14.9,SAO PAULO
Maminha (Serve 02 pessoas),00c11ed84091d78c9a0c3e3bde81714656e91655e7e3cc6d617fe81057fc01c4,474d7b7d096a3d1b20753a0fcb0fe0cdae9307736b07a233b48a0ba8861ab7d6,Trago E Viola - Restaurante,Pratos do dia,27,RECIFE
Maminha (Serve 02 pessoas),00c11ed84091d78c9a0c3e3bde81714656e91655e7e3cc6d617fe81057fc01c4,474d7b7d096a3d1b20753a0fcb0fe0cdae9307736b07a233b48a0ba8861ab7d6,Trago E Viola - Restaurante,Pratos do dia,29,RECIFE
X picanha crispy,00c1374bd6323762f64efa29ba299fd499e32236fc4058ab1624c34b06331b02,a5ceb4a866097a8cc0f4eed7fa51d5df61dd6c10a26f60ff749e4a9f162c7983,Tatu Burguer,Sanduiches especiais,17,SAO PAULO
1 SP cheese burguer + 1 Refrigerante Antarctica 350ml,00c161300406044f6765f3cf6d93dee3d6ed063c058c37319eac7a6756fcdd99,140c9efebc7c28cd186a34b3eed1fd67432f3ce8a475bafa3ba3d809b23fe8f1,Sp Burguer,PROMOÇÃO,9.9,RECIFE
01 - esfiha aliche,00c17dc9354dd2df194ed0eb45acca40a90c89ed27c05b83e462d2dfe5a91dcb,8d34e54399c9290e49d56b0b681272d4608f08a70007ec17f1284182c4e52ca1,Califas Ii Esfihas E Pizzas,Esfihas salgadas,2.6,SAO PAULO
Bolo de Pote Frutas Vermelhas (Massa de chocolate),00c1856819a9b659afe0759c0186d1aee17c0032c88507441786a93e6b9ebf89,cf91fb710114575b2c5a9f0e72d107815b0f9e8e3e712e275736f3bcd5ed880f,Baked Cake,BOLOS DE POTE,10.95,SAO PAULO
Porção de cebola a tirolesa (cebola empanada frita),00c1bdb5703b8702b59c2e8ffdb204ba0975a2c4f44578ff5a5c32396a00afd0,c12fe5460a81544534e2a1aae2b5a65b82e9ec821be5e3658a179c772dcacebf,La Paella,Pratos,26,SAO PAULO
Carpaccio caprese,00c2040541ec35c2238996fc18fa8187aa1fdade301b9e659f0463aee398aea4,b207ae17e5d0a1cd2bb19e1cc1ae1ec99624d14b95e188e861fa7b11968549b7,Quanto Prima - Recife,Saladas,29,RECIFE
4 queijos,00c211b58deb2fd1361919c2d32954707ade2b08eabb9b41e1b78d4ce900d881,0ec1fc42620cf6e0f2935532ff8816c20af1c45f3bbfc932a6122baf3785f702,Dudih Pastelaria E Açaí,Pastéis Especiais,15,SAO PAULO
Bife acebolado,00c2aff72f2fb1f8205d33817f973413b5ce6b93c6c5c64df55b8c8fc709f179,4a44f39486755c5bd78fb3fc5946844c91bb1ef2536d5363b07f2178d3203132,Padaria E Pizzaria Vila Das Belezas,Almoço,15,SAO PAULO
4040- temaki mestrão -completo,00c2d1c68c168f0f1583bd965a8dcffb4200949b59f4049051454442c35c104c,f5257a074558b2b22a6af5ca6f0dbd3365a6cb3fa12845955a1d1cdb657474e8,Temakeria Mestre Maki,Temakis,32.9,SAO PAULO
Com espinafre,00c2f1d3c42536db80815ff856db243fd2d51a0ce18280b81043dd09cd36545f,bd246a7a5f0d954448cc58ea94d09fb4de7f825778d5a5fb3f6695f2597cbe34,Alaaddin Kebab Store,Kebab (sanduiches ou folhadas),8.99,RECIFE
Detox,00c2f9bca18c0a21c1f91d31ee4b6ba6bf2f0c27bb611f158dfcbeb1eb071d2d,62ac36d43e8f71908065d02a97202daa38b9a80eb31d9c9be14b047b24c8722a,Poke Sp,Sucos Especiais,6.9,SAO PAULO
Batata chips & chilli + queso blanco,00c364d86b2410c17f3d41734de61dfe4e99cb0a1fb8ec83687c84eca0d24f24,8fc77724666753507096c1844e1b4e54220b61091bec0fcf9466b7576c106a3a,Applebees Morumbi,Appetizers,39.9,SAO PAULO
Codorna,00c3b4a123a3fa665c6b1b552aad739af9baeb13bc36a056211ca215a52bf1e8,328b5d42f37f7d968fb9428e8b959f8ebff1b3d2b66d962d63478948fdd15867,Bode Do Paraiba,Petiscos,7.9,RECIFE
torta de limao,00c3c1d1116c02ad872ae7cd491c0927540bbbab794a485f29890760f789a57d,430437af02e17ee8451a7e34463967e7ae3d59c7d85efd0e908602a6a4a59b1e,Sanduba Express,Sobremesas,8.9,SAO PAULO
Dupla Salmão Skin,00c445c2454b93b388d60cc11e9d5d69364d69bb89767b8013faba5dd9efc8f0,2819ab536176ca006b7f59d136c9e111bdd2630978ef15f09210e2c98f236a4c,Sushi Iê - Jardins,Duplas,10,SAO PAULO
Esfiha chocolate com m&ms,00c45f71d27ca2bb75e2f6128dc08272c1616967d200df5588173b08c063f812,0f61326bf7a6d41b5bac74a1f6226e84a55888cf1448a039c858c3a7b909fd56,Esfiha Mustafá,Esfihas doces,7.9,SAO PAULO
Esfiha chocolate com m&ms,00c45f71d27ca2bb75e2f6128dc08272c1616967d200df5588173b08c063f812,0f61326bf7a6d41b5bac74a1f6226e84a55888cf1448a039c858c3a7b909fd56,Esfiha Mustafá,Esfihas doces,8.9,SAO PAULO
Combo 02,00c4d379e4767c79cb191ca73b2674b6203a743a8fc633e7bacc4634eb118fa2,dc77550489385448db1be1abea7e06da2d3514289f180f0bf0f24614cbeae545,Yamamura Sushi,Promoção combo 01,17,SAO PAULO
